username,password,role
DCIT111,DCIT111,DCIT
DCIT112,DCIT112,DCIT
DCIT121,DCIT121,DCIT
DCIT122,DCIT122,DCIT
DCIT131,DCIT131,DCIT
DCIT132,DCIT132,DCIT
DCIT211,DCIT211,DCIT
DCIT212,DCIT212,DCIT
DCIT221,DCIT221,DCIT
DCIT222,DCIT222,DCIT
DCIT231,DCIT231,DCIT
DCIT232,DCIT232,DCIT
DCIT311,DCIT311,DCIT
DCIT312,DCIT312,DCIT
DCIT321,DCIT321,DCIT
DCIT322,DCIT322,DCIT
DCIT331,DCIT331,DCIT
DCIT332,DCIT332,DCIT
DCIT411,DCIT411,DCIT
DCIT412,DCIT412,DCIT
DCIT421,DCIT421,DCIT
DCIT422,DCIT422,DCIT
DCIT431,DCIT431,DCIT
DCIT432,DCIT432,DCIT
ITO111,ITO111,ITO
ITO112,ITO112,ITO
ITO121,ITO121,ITO
ITO122,ITO122,ITO
ITO131,ITO131,ITO
ITO132,ITO132,ITO
ITO211,ITO211,ITO
ITO212,ITO212,ITO
ITO221,ITO221,ITO
ITO222,ITO222,ITO
ITO231,ITO231,ITO
ITO232,ITO232,ITO
ITO311,ITO311,ITO
ITO312,ITO312,ITO
ITO321,ITO321,ITO
ITO322,ITO322,ITO
ITO331,ITO331,ITO
ITO332,ITO332,ITO
ITO411,ITO411,ITO
ITO412,ITO412,ITO
ITO421,ITO421,ITO
ITO422,ITO422,ITO
ITO431,ITO431,ITO
ITO432,ITO432,ITO
ADDCIT11,ADDCIT11,ADDCIT
ADDCIT12,ADDCIT12,ADDCIT
ADDCIT13,ADDCIT13,ADDCIT
ADDCIT21,ADDCIT21,ADDCIT
ADDCIT22,ADDCIT22,ADDCIT
ADDCIT23,ADDCIT23,ADDCIT
ADDCIT31,ADDCIT31,ADDCIT
ADDCIT32,ADDCIT32,ADDCIT
ADDCIT33,ADDCIT33,ADDCIT
ADDCIT41,ADDCIT41,ADDCIT
ADDCIT42,ADDCIT42,ADDCIT
ADDCIT43,ADDCIT43,ADDCIT
CIT1,CIT1,CIT
CIT2,CIT2,CIT
CIT3,CIT3,CIT
CIT4,CIT4,CIT
CCIT,CCIT,CCIT
